code,name,pe,pb,yield,market
2442,新美齊,3.62,0.83,14.48,TW
2528,皇普,6.35,1.23,13.39,TW
1432,大魯閣,2.78,1.09,11.94,TW
2543,皇昌,16.31,2.32,11.48,TW
5519,隆大,6.68,1.17,11.46,TW
1436,華友聯,11.41,1.74,10.3,TW
2542,興富發,18.76,1.58,10.15,TW
6165,浪凡,12.45,2.46,9.73,TW
2387,精元,12.0,0.76,9.6,TW
1446,宏和,9.72,0.78,9.52,TW
5225,東科-KY,8.31,1.93,9.38,TW
4137,麗豐-KY,15.08,1.68,9.3,TW
1442,名軒,8.83,1.22,8.97,TW
1423,利華,9.42,1.11,8.77,TW
2530,華建,10.42,1.76,8.75,TW
5706,鳳凰,15.31,2.31,8.67,TW
9946,三發地產,10.43,0.76,8.64,TW
5515,建國,8.84,1.52,8.33,TW
2020,美亞,10.26,1.3,8.24,TW
2762,世界健身-KY,19.76,2.79,8.05,TW
2010,春源,10.71,1.25,8.05,TW
2534,宏盛,9.17,0.59,7.94,TW
5522,遠雄,9.36,1.08,7.89,TW
2731,雄獅,9.35,3.08,7.83,TW
2547,日勝生,3.66,0.74,7.8,TW
2496,卓越,10.56,1.39,7.75,TW
2348,海悅,11.92,1.55,7.71,TW
6754,匯僑設計,13.36,1.29,7.68,TW
3679,新至陞,14.08,1.6,7.53,TW
2603,長榮,6.74,0.82,7.49,TW
2504,國產,10.61,1.52,7.43,TW
2739,寒舍,14.72,1.97,7.42,TW
2636,台驊控股,8.8,0.95,7.34,TW
9927,泰銘,12.59,1.46,7.3,TW
4763,材料*-KY,6.88,2.08,7.27,TW
6771,平和環保-創,12.17,1.56,7.22,TW
2545,皇翔,21.79,0.99,7.18,TW
2109,華豐,12.07,1.12,7.14,TW
2539,櫻花建,11.37,2.62,7.12,TW
2851,中再保,8.57,1.16,7.02,TW
2546,根基,8.98,1.85,7.02,TW
5534,長虹,13.1,1.1,7.0,TW
1307,三芳,11.05,1.24,6.98,TW
2727,王品,14.42,4.07,6.98,TW
6807,峰源-KY,7.7,0.75,6.93,TW
1218,泰山,11.98,0.71,6.93,TW
6591,動力-KY,11.41,1.07,6.87,TW
1457,宜進,12.33,0.63,6.87,TW
1108,幸福,6.7,1.03,6.85,TW
3005,神基,11.8,2.36,6.85,TW
9907,統一實,15.54,1.22,6.84,TW
2548,華固,9.71,1.93,6.83,TW
8367,建新國際,11.9,1.19,6.8,TW
1477,聚陽,15.92,4.18,6.8,TW
6625,必應,8.41,2.27,6.75,TW
6918,愛派司,14.96,2.01,6.74,TW
2247,汎德永業,11.74,1.35,6.74,TW
3168,眾福科,16.64,2.08,6.73,TW
1612,宏泰,13.43,1.39,6.72,TW
8481,政伸,12.68,1.57,6.67,TW
2753,八方雲集,14.06,3.17,6.65,TW
3130,一零四,15.02,4.28,6.65,TW
2832,台產,10.76,1.13,6.64,TW
6790,永豐實,13.0,1.75,6.64,TW
9935,慶豐富,11.0,1.21,6.61,TW
6281,全國電,13.4,1.85,6.6,TW
2477,美隆電,12.65,0.8,6.59,TW
9938,百和,11.12,1.02,6.58,TW
1102,亞泥,12.35,0.69,6.58,TW
1472,三洋實業,14.27,2.09,6.57,TW
2357,華碩,10.65,1.77,6.57,TW
2211,長榮鋼,11.52,1.51,6.56,TW
1604,聲寶,13.44,0.96,6.56,TW
1713,國化,10.57,1.77,6.55,TW
2204,中華,10.2,0.8,6.55,TW
6951,青新-創,14.1,3.61,6.54,TW
4532,瑞智,12.54,1.09,6.54,TW
1104,環泥,11.05,0.8,6.54,TW
6177,達麗,12.06,1.97,6.53,TW
2373,震旦行,14.6,1.7,6.51,TW
1341,富林-KY,16.66,2.53,6.47,TW
3014,聯陽,14.25,3.09,6.46,TW
6184,大豐電,18.54,1.45,6.4,TW
2852,第一保,8.94,0.86,6.36,TW
2006,東和鋼鐵,10.2,1.52,6.36,TW
8114,振樺電,9.76,1.88,6.35,TW
2707,晶華,14.87,5.23,6.32,TW
2459,敦吉,12.88,1.23,6.31,TW
9802,鈺齊-KY,13.41,1.18,6.3,TW
2031,新光鋼,8.7,1.21,6.29,TW
1342,八貫,16.07,3.56,6.28,TW
